date,year,s_man,c_man,n_man,s1_aut,s2_aut,s3_aut,c1_aut,c2_aut,c3_aut,n1_aut,n2_aut,n3_aut,s_avg,c_avg,n_avg
17-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
18-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
19-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
20-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
21-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
22-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
23-Jan-09,2009,3.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20,0.00,0.00
24-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
25-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
26-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
27-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
28-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
29-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
30-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
31-Jan-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
1-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
2-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
3-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
4-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
5-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
6-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
7-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
8-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
9-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
10-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
11-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
12-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
13-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
14-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
15-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
16-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
17-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
18-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
19-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
20-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
21-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
22-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
23-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
24-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
25-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
26-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
27-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
28-Feb-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
1-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
2-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
3-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
4-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
5-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
6-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
