census,year,site,block,treatment,plot,species,<0.5m,0.5_1m,<1m,1_2m,2_3m,3_4m,>4m,total
2,2010,C,2,MEGA,C2MEGA,Commiphora_habessinica,0,0,0,2,0,0,0,2
2,2010,C,2,MEGA,C2MEGA,Grewia_kakothamnos,0,0,0,3,0,0,0,3
2,2010,C,2,MESO,C2MESO,Acacia_brevispica,NA,NA,10,21,21,5,0,57
2,2010,C,2,MESO,C2MESO,Acacia_etbaica,NA,NA,40,27,42,21,4,133
2,2010,C,2,MESO,C2MESO,Acacia_mellifera,NA,NA,5,0,3,3,4,15
2,2010,C,2,MESO,C2MESO,Acacia_tortilis,0,0,0,0,1,0,0,1
2,2010,C,2,MESO,C2MESO,Balanites_rotundifolia,0,0,0,0,0,1,1,2
2,2010,C,2,MESO,C2MESO,Boscia_angustifolia,NA,NA,1,0,0,0,0,1
2,2010,C,2,OPEN,C2OPEN,Acacia_brevispica,NA,NA,2,10,2,2,0,16
2,2010,C,2,OPEN,C2OPEN,Acacia_etbaica,NA,NA,24,31,35,21,4,115
2,2010,C,2,OPEN,C2OPEN,Acacia_mellifera,NA,NA,2,4,10,9,3,28
2,2010,C,2,OPEN,C2OPEN,Boscia_angustifolia,0,0,0,0,0,0,1,1
2,2010,C,2,TOTAL,C2TOTAL,Acacia_brevispica,NA,NA,1,23,41,28,4,97
2,2010,C,2,TOTAL,C2TOTAL,Acacia_etbaica,NA,NA,25,43,32,31,8,139
2,2010,C,2,TOTAL,C2TOTAL,Acacia_mellifera,NA,NA,7,14,6,10,7,44
2,2010,C,2,TOTAL,C2TOTAL,Acacia_tortilis,NA,NA,1,0,0,0,0,1
2,2010,C,2,TOTAL,C2TOTAL,Balanites_rotundifolia,0,0,0,0,0,2,2,4
2,2010,C,2,TOTAL,C2TOTAL,Boscia_angustifolia,NA,NA,1,1,0,1,0,3
2,2010,C,2,TOTAL,C2TOTAL,Croton_dichogamus,NA,NA,7,51,14,1,0,73
2,2010,C,2,TOTAL,C2TOTAL,Grewia_kakothamnos,0,0,0,3,0,0,0,3
2,2010,C,3,MEGA,C3MEGA,Acacia_brevispica,0,0,0,96,67,13,3,179
2,2010,C,3,MEGA,C3MEGA,Acacia_etbaica,NA,NA,34,44,36,11,6,131
2,2010,C,3,MEGA,C3MEGA,Acacia_mellifera,NA,NA,2,1,5,4,2,14
2,2010,C,3,MEGA,C3MEGA,Balanites_rotundifolia,0,0,0,1,0,0,0,1
2,2010,C,3,MEGA,C3MEGA,Boscia_angustifolia,0,0,0,1,0,1,3,5
2,2010,C,3,MEGA,C3MEGA,Croton_dichogamus,NA,NA,4,45,8,2,0,59
2,2010,C,3,MEGA,C3MEGA,Grewia_kakothamnos,NA,NA,1,19,9,0,0,29
2,2010,C,3,MEGA,C3MEGA,Lycium_europaeum,NA,NA,6,9,1,0,0,16
2,2010,C,3,MESO,C3MESO,Acacia_brevispica,NA,NA,3,55,17,3,0,78
2,2010,C,3,MESO,C3MESO,Acacia_etbaica,NA,NA,28,63,24,8,0,123
2,2010,C,3,MESO,C3MESO,Acacia_mellifera,NA,NA,3,6,6,3,2,20
2,2010,C,3,MESO,C3MESO,Acacia_tortilis,0,0,0,2,0,0,0,2
2,2010,C,3,MESO,C3MESO,Boscia_angustifolia,0,0,0,1,0,2,0,3
2,2010,C,3,MESO,C3MESO,Croton_dichogamus,NA,NA,13,16,4,2,0,35
2,2010,C,3,MESO,C3MESO,Grewia_kakothamnos,0,0,0,6,0,0,0,6
2,2010,C,3,MESO,C3MESO,Lycium_europaeum,0,0,0,1,0,0,0,1
2,2010,C,3,MESO,C3MESO,NONE,0,0,0,0,0,0,0,0
2,2010,C,3,OPEN,C3OPEN,Acacia_brevispica,NA,NA,7,155,8,0,0,170
2,2010,C,3,OPEN,C3OPEN,Acacia_etbaica,NA,NA,13,64,12,3,0,92
2,2010,C,3,OPEN,C3OPEN,Acacia_mellifera,NA,NA,10,17,2,1,0,30
2,2010,C,3,OPEN,C3OPEN,Balanites_rotundifolia,0,0,0,1,2,1,0,4
2,2010,C,3,OPEN,C3OPEN,Boscia_angustifolia,NA,NA,1,3,3,1,3,11
2,2010,C,3,OPEN,C3OPEN,Commiphora_habessinica,NA,NA,1,0,0,0,0,1
2,2010,C,3,OPEN,C3OPEN,Croton_dichogamus,NA,NA,33,121,8,0,0,162
2,2010,C,3,OPEN,C3OPEN,Grewia_kakothamnos,0,0,0,3,0,0,0,3
2,2010,C,3,TOTAL,C3TOTAL,Acacia_brevispica,NA,NA,3,72,51,27,4,157
2,2010,C,3,TOTAL,C3TOTAL,Acacia_etbaica,NA,NA,23,45,25,16,5,114
2,2010,C,3,TOTAL,C3TOTAL,Acacia_mellifera,NA,NA,5,7,8,3,0,23
2,2010,C,3,TOTAL,C3TOTAL,Balanites_rotundifolia,NA,NA,1,1,0,2,2,6
2,2010,C,3,TOTAL,C3TOTAL,Boscia_angustifolia,NA,NA,1,4,0,1,1,7
2,2010,C,3,TOTAL,C3TOTAL,Croton_dichogamus,NA,NA,13,74,19,11,2,119
2,2010,C,3,TOTAL,C3TOTAL,Grewia_kakothamnos,0,0,0,9,1,0,0,10
2,2010,N,1,MEGA,N1MEGA,Acacia_brevispica,NA,NA,17,24,8,5,1,55
2,2010,N,1,MEGA,N1MEGA,Acacia_etbaica,NA,NA,2,2,10,7,0,21
2,2010,N,1,MEGA,N1MEGA,Acacia_gerrardii,0,0,0,1,0,0,0,1
2,2010,N,1,MEGA,N1MEGA,Acacia_mellifera,NA,NA,3,6,12,21,1,43
2,2010,N,1,MEGA,N1MEGA,Acacia_tortilis,0,0,0,1,1,0,0,2
2,2010,N,1,MEGA,N1MEGA,Balanites_rotundifolia,0,0,0,1,0,0,0,1
2,2010,N,1,MEGA,N1MEGA,Boscia_angustifolia,NA,NA,2,0,0,0,0,2
2,2010,N,1,MEGA,N1MEGA,Croton_dichogamus,NA,NA,7,19,3,0,0,29
